"CODIGO_
ENTIDAD";"CODIGO_
UBIGEO";"CODIGO_
PAIS";DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE_UO;GOBIERNO_LOCAL;RUC_GOBIERNO_LOCAL;"AÑO_
GASTO";"MES_
GASTO";USO_DEPENDENCIA;"NRO_PLACA
COD_VEHICULO";"NUMERO_
VALE";"FECHA_
CONSUMO";PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO;"FECHA_
CORTE"
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-096;57059;20210102;1er QUINCENA;DIESEL;10.96;14.682;160.91;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-097;57060;20210102;1er QUINCENA;DIESEL;10.96;11.642;127.6;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUB-674;57061;20210102;1er QUINCENA;DIESEL;10.96;11.574;126.85;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-1256;57062;20210102;1er QUINCENA;DIESEL;10.96;12.638;138.51;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-053;57063;20210102;1er QUINCENA;DIESEL;10.96;16.025;175.63;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-9503;57064;20210102;1er QUINCENA;DIESEL;10.96;13.054;143.07;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUB-681;57065;20210102;1er QUINCENA;DIESEL;10.96;13.336;146.16;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-8846;57066;20210102;1er QUINCENA;DIESEL;10.96;12.329;135.13;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;GERENCIA DE SALUD;EUD-838;57067;20210102;1er QUINCENA;DIESEL;10.96;9.349;102.47;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-092;57067;20210102;1er QUINCENA;DIESEL;10.96;14.22;155.85;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;TRANSITO;EUB-664;57069;20210102;1er QUINCENA;DIESEL;10.96;7.912;86.72;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-4516;57070;20210102;1er QUINCENA;DIESEL;10.96;8.135;89.16;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;TRANSITO;EUB-684;57071;20210102;1er QUINCENA;DIESEL;10.96;8.678;95.11;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-0680;57072;20210102;1er QUINCENA;DIESEL;10.96;15.337;168.09;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-094;57073;20210102;1er QUINCENA;DIESEL;10.96;9.511;104.24;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;GERENCIA DE SALUD;EUD-798;57074;20210102;1er QUINCENA;DIESEL;10.96;6.617;72.52;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;PARQUES Y JARDINES;EGW-319;57075;20210102;1er QUINCENA;DIESEL;10.96;15.752;172.64;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;PARQUES Y JARDINES;MSM-2534;57076;20210102;1er QUINCENA;DIESEL;10.96;10.875;119.19;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;EGX-333;57077;20210102;1er QUINCENA;DIESEL;10.96;14.884;163.13;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;MSM-2532;57078;20210102;1er QUINCENA;DIESEL;10.96;16.806;184.19;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;EGX-356;57079;20210102;1er QUINCENA;DIESEL;10.96;18.069;198.04;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;PARQUES Y JARDINES;MDSM-1673;57080;20210102;1er QUINCENA;DIESEL;10.96;56.379;617.91;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;TRANSITO;EUB-983;57081;20210102;1er QUINCENA;DIESEL;10.96;14.07;154.21;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;TRANSITO;EUB-669;57082;20210102;1er QUINCENA;DIESEL;10.96;17.988;197.15;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;PARQUES Y JARDINES;MDSM-3449;57083;20210102;1er QUINCENA;DIESEL;10.96;29.836;327;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;EUE-455;57084;20210102;1er QUINCENA;DIESEL;10.96;18.64;204.29;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;EGX-182;57085;20210102;1er QUINCENA;DIESEL;10.96;16.335;179.03;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;EGI-238;57086;20210102;1er QUINCENA;DIESEL;10.96;14.502;158.94;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;EGX-692;57087;20210102;1er QUINCENA;DIESEL;10.96;12.15;133.16;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EU-2085;57088;20210102;1er QUINCENA;GASOHOL 90;10.45;2.545;26.6;20211231
