MES_GASTO;USO_DEPENDENCIA;PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO
1;4;1;1;10.96;2.514;27.55
1;4;1;1;10.96;12.598;138.07
1;1;1;1;10.96;10.335;113.27
1;1;1;1;10.96;5.754;63.06
1;1;1;1;10.96;9.922;108.75
1;1;1;1;10.96;9.902;108.53
1;2;1;1;10.96;26.968;295.57
1;1;1;1;10.96;7.088;77.68
1;1;1;1;10.96;10.613;116.32
1;1;1;1;10.96;11.454;125.54
1;1;1;1;10.96;12.603;138.13
1;1;1;1;10.96;11.676;127.97
1;1;1;1;10.96;6.277;68.8
1;5;1;1;10.96;7.787;85.35
1;4;1;1;10.96;11.806;129.39
1;1;1;1;10.96;10.112;110.83
1;6;1;1;10.96;5.694;62.41
1;4;1;1;10.96;13.879;152.11
1;3;1;1;10.96;7.904;86.63
1;4;1;1;10.96;13.73;150.48
1;2;1;1;10.96;14.935;163.69
1;2;1;1;10.96;11.746;128.74
1;2;1;1;10.96;13.056;143.09
1;1;1;1;10.96;8.228;90.18
1;2;1;1;10.96;17.097;187.38
1;3;1;1;10.96;66.768;731.78
1;1;1;1;10.96;9.342;102.39
1;2;1;1;10.96;15.603;171.01
1;3;1;1;10.96;20.435;223.97
1;1;1;1;10.96;9.534;104.49
1;1;1;2;10.45;3.09;32.29
1;1;1;2;10.45;3.005;31.4
1;1;1;2;10.45;1.426;14.9
1;1;1;3;16.69;8.931;149.06
1;1;1;2;10.45;1.279;13.37
1;1;1;2;10.45;2.313;24.17
1;1;1;2;10.45;2.249;23.5
1;1;1;2;10.45;8.328;87.03
1;1;1;2;10.45;1.965;20.53
1;3;1;2;10.45;70;731.5
1;1;1;2;10.45;2.909;30.4
1;5;1;2;10.45;9.389;98.12
1;1;1;2;10.45;2.423;25.32
1;1;1;2;10.45;1.896;19.81
1;1;1;2;10.45;3.011;31.46
1;1;1;1;11.08;12.245;135.67
1;1;1;1;11.08;7.757;85.95
1;1;1;1;11.08;7.668;84.96
1;1;1;1;11.08;13.354;147.96
1;1;1;1;11.08;6.212;68.83
1;1;1;1;11.08;11.561;128.1
1;1;1;1;11.08;6.222;68.94
1;5;1;1;11.08;8.657;95.92
1;1;1;1;11.08;16.598;183.91
1;1;1;1;11.08;9.646;106.88
1;1;1;1;11.08;14.002;155.14
1;1;1;1;11.08;12.704;140.76
1;1;1;1;11.08;5.943;65.85
1;1;1;1;11.08;11.975;132.68
1;1;1;1;11.08;7.645;84.71
1;6;1;1;11.08;4.067;45.06
1;6;1;1;11.08;4.378;48.51
1;1;1;1;11.08;12.633;139.97
1;1;1;1;11.08;5.892;65.28
1;1;1;1;11.08;12.365;137
1;1;1;1;11.08;9.733;107.84
1;1;1;1;11.08;9.365;103.76
1;2;1;1;11.08;29.753;329.66
1;4;1;1;11.08;6.315;69.97
1;2;1;1;11.08;33.821;374.74
1;1;1;1;11.08;4.355;48.25
1;2;1;1;11.08;12.862;142.51
1;3;1;1;11.08;29.749;329.62
1;2;1;1;11.08;14.067;155.86
1;1;1;1;11.08;13.503;149.61
1;1;1;1;11.08;11.713;129.78
1;4;1;1;11.08;8.488;94.05
1;3;1;1;11.08;8.22;91.08
1;2;1;1;11.08;15.784;174.89
1;1;1;1;11.08;14.582;161.57
1;2;1;1;11.08;15.78;174.84
1;3;1;1;11.08;12.239;135.61
1;3;1;1;11.08;67.544;748.39
1;1;1;2;10.45;2.863;29.92
1;1;1;3;16.69;9.771;163.08
1;5;1;1;11.08;13.725;152.07
1;4;1;1;11.08;9.776;108.32
1;4;1;1;11.08;6.746;74.75
1;1;1;2;10.45;7.452;77.87
1;1;1;2;10.45;2.625;27.43
1;1;1;2;10.45;2.282;23.85
1;1;1;2;10.45;1.303;13.62
1;1;1;2;10.45;1.991;20.81
1;1;1;2;10.45;2.037;21.29
1;1;1;2;10.45;1.497;15.64
1;1;1;2;10.45;9.701;101.38
1;5;1;2;10.45;7.311;76.4
1;1;1;2;10.45;2.918;30.49
1;1;1;2;10.45;1.7;17.77
1;1;1;2;10.45;2.667;27.87
1;1;1;2;10.45;3.068;32.06
1;1;1;2;10.45;1.903;19.89
1;1;1;2;10.45;3.114;32.54
1;1;1;2;10.45;3.087;32.26
1;1;1;1;11.08;14.727;163.18
1;1;1;1;11.08;13.455;149.08
1;1;1;1;11.08;15.232;168.77
1;1;1;1;11.08;14.161;156.9
1;1;1;1;11.08;16.686;184.88
1;1;1;1;11.08;14.201;157.35
1;1;1;1;11.08;18.604;206.13
1;1;1;1;11.08;11.394;126.25
1;1;1;1;11.08;14.245;157.83
1;4;1;1;11.08;10.214;113.17
1;1;1;1;11.08;12.767;141.46
1;1;1;1;11.08;15.002;166.22
1;6;1;1;11.08;5.72;63.38
1;1;1;1;11.08;14.586;161.61
1;1;1;1;11.08;14.513;160.8
1;1;1;1;11.08;11.856;131.36
1;1;1;1;11.08;13.472;149.27
1;1;1;1;11.08;13.529;149.9
1;1;1;1;11.08;11.142;123.45
1;1;1;1;11.08;12.55;139.05
1;1;1;1;11.08;12.093;133.99
1;5;1;1;11.08;4.736;52.47
1;1;1;1;11.08;13.103;145.18
1;2;1;1;11.08;33.307;369.04
1;1;1;1;11.08;10.313;114.27
1;5;1;1;11.08;12.603;139.64
1;2;1;1;11.08;15.682;173.76
1;1;1;1;11.08;15.536;172.14
1;2;1;1;11.08;16.842;186.61
1;1;1;1;11.08;7.339;81.32
1;1;1;1;11.08;14.32;158.67
1;3;1;1;11.08;12.694;140.65
1;2;1;1;11.08;30.694;340.09
1;2;1;1;11.08;16.847;186.66
1;3;1;1;11.08;22.041;244.21
1;6;1;1;11.08;9.033;100.09
1;4;1;1;11.08;3.72;41.22
1;3;1;1;11.08;62.16;688.73
1;3;1;1;11.08;35.98;398.66
1;2;1;1;11.08;17.533;194.27
1;1;1;2;10.45;2.675;27.95
1;1;1;2;10.45;5.818;60.8
1;1;1;2;10.45;5.778;60.38
1;1;1;2;10.45;1.984;20.73
1;1;1;2;10.45;2.254;23.55
1;1;1;2;10.45;2.141;22.37
1;1;1;2;10.45;3.082;32.21
1;1;1;2;10.45;1.568;16.39
1;1;1;2;10.45;2.836;29.64
1;1;1;2;10.45;2.032;21.23
1;1;1;2;10.45;2.01;21
1;1;1;2;10.45;2.087;21.81
1;3;1;2;10.45;70;731.5
1;5;1;2;10.45;7.253;75.79
1;1;1;2;10.45;3.051;31.88
1;1;1;2;10.45;3.141;32.82
1;5;1;2;10.45;0.528;5.52
1;1;1;2;10.45;2.648;27.67
1;1;1;2;10.45;8.658;90.48
1;1;1;1;11.08;11.699;129.62
1;1;1;1;11.08;7.036;77.96
1;1;1;1;11.08;14.753;163.46
1;1;1;1;11.08;13.7;151.8
1;1;1;1;11.08;11.234;124.47
1;1;1;1;11.08;5.567;61.68
1;1;1;1;11.08;6.242;69.16
1;1;1;1;11.08;12.188;135.04
1;1;1;1;11.08;15.244;168.9
1;1;1;1;11.08;8.957;99.24
1;6;1;1;11.08;8.631;95.63
1;1;1;1;11.08;8.606;95.35
